_id,session,run,meanScore,maxScore,alpha,gamma,exploreRate,batchSize,bufferSize
647d382dbeb44780d54d943f,1,71,19.577464788732396,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9440,1,72,19.48611111111111,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9441,1,73,19.465753424657535,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9442,1,74,19.41891891891892,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9443,1,75,19.44,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9444,1,76,19.42105263157895,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9445,1,77,19.337662337662337,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9446,1,78,19.32051282051282,39,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9447,1,79,19.696202531645568,49,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9448,1,80,20.375,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9449,1,81,20.308641975308642,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d944a,1,82,20.304878048780488,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d944b,1,83,20.397590361445783,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d944c,1,84,20.357142857142858,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d944d,1,85,20.611764705882354,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d944e,1,86,20.558139534883722,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d944f,1,87,20.701149425287355,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9450,1,88,20.897727272727273,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9451,1,89,21.134831460674157,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9452,1,90,21.233333333333334,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9453,1,91,21.164835164835164,74,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9454,1,92,21.22826086956522,74,0.01,0.9,90.0,40,10000
